Date,MDA8
01-01-15,42.68
02-01-15,39.02
03-01-15,15.87
04-01-15,19.4
05-01-15,65.12
06-01-15,63.95
07-01-15,28.49
08-01-15,13.72
09-01-15,52.99
10-01-15,34.53
11-01-15,43.2
12-01-15,29.63
13-01-15,15.03
14-01-15,7.46
15-01-15,8.25
16-01-15,63.04
17-01-15,51.99
18-01-15,66.95
19-01-15,63.64
20-01-15,22.97
21-01-15,60.8
22-01-15,27.59
23-01-15,16.74
24-01-15,28.14
25-01-15,27.27
26-01-15,55.88
27-01-15,54.25
28-01-15,39.08
29-01-15,58.8
30-01-15,61.2
31-01-15,45.82
01-02-15,25.25
02-02-15,16.83
03-02-15,66.96
04-02-15,69.45
05-02-15,68.32
06-02-15,44.71
07-02-15,72.1
08-02-15,70.4
09-02-15,41.12
10-02-15,52.14
11-02-15,70.99
12-02-15,67.48
13-02-15,55.86
14-02-15,61.47
15-02-15,39.37
16-02-15,70.42
17-02-15,50.12
18-02-15,78.7
19-02-15,60.41
20-02-15,51.92
21-02-15,69.24
22-02-15,74.39
23-02-15,64.79
24-02-15,54.05
25-02-15,80.52
26-02-15,79.71
27-02-15,60.57
28-02-15,52.06
01-03-15,43.55
02-03-15,74.28
03-03-15,76.03
04-03-15,73.53
05-03-15,69.18
06-03-15,61.42
07-03-15,86.69
08-03-15,78.38
09-03-15,80.93
10-03-15,78.78
11-03-15,74.95
12-03-15,60.02
13-03-15,76.75
14-03-15,41.04
15-03-15,92.65
16-03-15,68.15
17-03-15,99.31
18-03-15,82.55
19-03-15,72.04
20-03-15,95.42
21-03-15,87.83
22-03-15,84.84
23-03-15,86.69
24-03-15,86.38
25-03-15,102.76
26-03-15,137.13
27-03-15,129.22
28-03-15,110.38
29-03-15,110.27
30-03-15,131.43
31-03-15,103.79
01-04-15,74.45
02-04-15,88.34
03-04-15,108.92
04-04-15,132.05
05-04-15,101.68
06-04-15,83.27
07-04-15,90.18
08-04-15,99.06
09-04-15,119.8
10-04-15,127.97
11-04-15,123.47
12-04-15,85.63
13-04-15,119.86
14-04-15,115.11
15-04-15,100.54
16-04-15,96.15
17-04-15,100.83
18-04-15,100.34
19-04-15,94.54
20-04-15,122.7
21-04-15,109.15
22-04-15,132.46
23-04-15,109.14
24-04-15,131.52
25-04-15,167.55
26-04-15,209.25
27-04-15,163.34
28-04-15,125.38
29-04-15,187.94
30-04-15,198.75
01-05-15,163.56
02-05-15,135.07
03-05-15,107.38
04-05-15,114.01
05-05-15,109.7
06-05-15,91.26
07-05-15,115.54
08-05-15,109.11
09-05-15,92.35
10-05-15,39.87
11-05-15,81.39
12-05-15,103.54
13-05-15,151.91
14-05-15,118.22
15-05-15,114.38
16-05-15,170.02
17-05-15,158.19
18-05-15,104.43
19-05-15,91.69
20-05-15,113.58
21-05-15,144.54
22-05-15,195.8
23-05-15,234.85
24-05-15,237.4
25-05-15,272.93
26-05-15,248.09
27-05-15,214.15
28-05-15,192.13
29-05-15,154.44
30-05-15,188.88
31-05-15,213.7
01-06-15,203.8
02-06-15,143.65
03-06-15,123.1
04-06-15,94.54
05-06-15,161.06
06-06-15,132.2
07-06-15,83.86
08-06-15,118.87
09-06-15,193.75
10-06-15,153.68
11-06-15,90.15
12-06-15,85.89
13-06-15,112.29
14-06-15,149.81
15-06-15,223.09
16-06-15,230.8
17-06-15,186.41
18-06-15,99.2
19-06-15,74.94
20-06-15,162.15
21-06-15,193.07
22-06-15,218.58
23-06-15,223.92
24-06-15,183.31
25-06-15,126.92
26-06-15,180.53
27-06-15,171.94
28-06-15,206.1
29-06-15,167.66
30-06-15,98.15
01-07-15,82.36
02-07-15,91.38
03-07-15,162.72
04-07-15,138.88
05-07-15,208.47
06-07-15,204.14
07-07-15,210.83
08-07-15,227.8
09-07-15,223.87
10-07-15,196.02
11-07-15,229.3
12-07-15,259.17
13-07-15,227.76
14-07-15,210.13
15-07-15,141.51
16-07-15,98.34
17-07-15,83.28
18-07-15,123.16
19-07-15,120.74
20-07-15,126.89
21-07-15,136.88
22-07-15,158.65
23-07-15,137.72
24-07-15,157.27
25-07-15,205.53
26-07-15,198.73
27-07-15,177.18
28-07-15,150.94
29-07-15,175.91
30-07-15,126.44
31-07-15,131.66
01-08-15,101.68
02-08-15,140.8
03-08-15,103.13
04-08-15,160.55
05-08-15,179.6
06-08-15,158.26
